NAMOBJ,WADMKC
Alasangker,Buleleng
Ambengan,Sukasada
Anturan,Buleleng
Astina,Buleleng
Baktiseraga,Buleleng
Banjar,Banjar
Banjar Bali,Buleleng
Banjar Jawa,Buleleng
Banjar Tegal,Buleleng
Banjar Tegeha,Banjar
Banjarasem,Seririt
Banyuasri,Buleleng
Banyuatis,Banjar
Banyuning,Buleleng
Banyupoh,Gerokgak
Banyuseri,Banjar
Bebetin,Sawan
Bengkala,Kubutambahan
Bengkel,Busungbiu
Beratan,Buleleng
Bestala,Seririt
Bila,Kubutambahan
Bondalem,Tejakula
Bontihing,Kubutambahan
Bubunan,Seririt
Bukti,Kubutambahan
Bulian,Kubutambahan
Bungkulan,Sawan
Busungbiu,Busungbiu
Celukanbawang,Gerokgak
Cempaga,Banjar
Dencarik,Banjar
Depeha,Kubutambahan
Galungan,Sawan
Gerokgak,Gerokgak
Gesing,Banjar
Giri Emas,Sawan
Gitgit,Sukasada
Gobleg,Banjar
Gunungsari,Seririt
Jagaraga,Sawan
Jinengdalem,Buleleng
Joanyar,Seririt
Julah,Tejakula
Kalianget,Seririt
Kaliasem,Banjar
Kalibukbuk,Buleleng
Kalisada,Seririt
Kaliuntu,Buleleng
Kampung Anyar,Buleleng
Kampung Baru,Buleleng
Kampung Bugis,Buleleng
Kampung Kajanan,Buleleng
Kampung Singaraja,Buleleng
Kayuputih,Sukasada
Kayuputih,Banjar
Kedis,Busungbiu
Kekeran,Busungbiu
Kendran,Buleleng
Kerobokan,Sawan
Kubutambahan,Kubutambahan
Lemukih,Sawan
Les,Tejakula
Liligundi,Buleleng
Lokapaksa,Seririt
Madenan,Tejakula
Mayong,Seririt
Mengening,Kubutambahan
Menyali,Sawan
Munduk,Banjar
Munduk Bestala,Seririt
Musi,Gerokgak
Nagasepaha,Buleleng
Pacung,Tejakula
Padangbulia,Sukasada
Paket Agung,Buleleng
Pakisan,Kubutambahan
Pancasari,Sukasada
Pangkungparuk,Seririt
Panji,Sukasada
Panji Anom,Sukasada
Patas,Gerokgak
Patemon,Seririt
Pedawa,Banjar
Pegadungan,Sukasada
Pegayaman,Sukasada
Pejarakan,Gerokgak
Pelapuan,Busungbiu
Pemaron,Buleleng
Pemuteran,Gerokgak
Penarukan,Buleleng
Pengastulan,Seririt
Penglatan,Buleleng
Pengulon,Gerokgak
Penuktukan,Tejakula
Penyabangan,Gerokgak
Petandakan,Buleleng
Poh Bergong,Buleleng
Pucaksari,Busungbiu
Rangdu,Seririt
Ringdikit,Seririt
Sambangan,Sukasada
Sambirenteng,Tejakula
Sanggalangit,Gerokgak
Sangsit,Sawan
Sarimekar,Buleleng
Sawan,Sawan
Sekumpul,Sawan
Selat,Sukasada
Sembiran,Tejakula
Sepang,Busungbiu
Sepang Kelod,Busungbiu
Seririt,Seririt
Sidetapa,Banjar
Silangjana,Sukasada
Sinabun,Sawan
Subuk,Busungbiu
Sudaji,Sawan
Sukasada,Sukasada
Sulanyah,Seririt
Sumberklampok,Gerokgak
Suwug,Sawan
Tajun,Kubutambahan
Tambakan,Kubutambahan
Tamblang,Kubutambahan
Tampekan,Banjar
Tangguwisia,Seririt
Tegallinggah,Sukasada
Tejakula,Tejakula
Telaga,Busungbiu
Tembok,Tejakula
Temukus,Banjar
Tigawasa,Banjar
Tinga-tinga,Gerokgak
Tinggarsari,Busungbiu
Tirtasari,Banjar
Dapdap Putih,Busungbiu
Titab,Busungbiu
Tukadmungga,Buleleng
Tukadsumaga,Gerokgak
Tunjung,Kubutambahan
Ularan,Seririt
Umeanyar,Seririt
Umejero,Busungbiu
Unggahan,Seririt
Wanagiri,Sukasada
Sumberkima,Gerokgak
Bongancina,Busungbiu
